text,label
"Win ₹50,000 now",spam
"Claim your free prize",spam
"Meeting at 10 AM",ham
"Project update attached",ham
"Limited time offer",spam
"Congratulations! You won a free iPhone",spam
"Lottery winner announced",spam
"Claim your reward today",spam
"You have won a cash prize",spam
"Free vacation package waiting",spam
"Project meeting tomorrow",ham
"Bank statement attached",ham
"Class schedule updated",ham
"Assignment deadline reminder",ham
"Exclusive lottery offer",spam
"Free cash reward waiting",spam
"Urgent! Claim your gift",spam
"You are selected as a winner",spam
"Click here for a free vacation",spam
"Monthly attendance report",ham
"Lab session starts tomorrow",ham
"Invoice attached",ham
"Team discussion at 4 PM",ham
"Exam timetable released",ham
"Congratulations! You are our lucky winner",spam
"Click here to claim your free gift",spam
"Earn ₹10,000 per day from home",spam
"Your account has won a cash reward",spam
"Limited offer! Buy now and save 90%",spam
"Free recharge available today",spam
"You have been selected for a special prize",spam
"Claim your Amazon gift card now",spam
"Urgent: Verify your account immediately",spam
"Exclusive deal for selected customers",spam
"Get rich quickly with this secret method",spam
"Win a brand new smartphone today",spam
"Your loan has been approved instantly",spam
"Free movie tickets waiting for you",spam
"Click now to receive your reward",spam
"Please submit your assignment before Friday",ham
"Your order has been delivered successfully",ham
"Team meeting scheduled for Monday",ham
"The project report is attached",ham
"Class has been postponed to tomorrow",ham
"Your exam hall ticket is available",ham
"Bank transaction completed successfully",ham
"Thank you for your payment",ham
"Your package will arrive tomorrow",ham
"Reminder: Doctor appointment at 5 PM",ham
"Monthly performance report attached",ham
"The lecture notes have been uploaded",ham
"Family dinner planned for Sunday",ham
"Your internet bill is generated",ham
"Meeting room changed to Block B",ham